ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE
,,,,94133,6075010700.0,0.14540344142044287,2020-09-01,,,,
,,,,94133,6075010300.0,0.16055391787207787,2020-09-01,,,,
,,,,94133,6075061100.0,0.033728662507712344,2020-09-01,,,,
,,,,94133,6075010600.0,0.1436895866182217,2020-09-01,,,,
,,,,94133,6075010200.0,0.008432165626928086,2020-09-01,,,,
,,,,94158,6075060700.0,0.9991128459900639,2020-09-01,,,,
,,,,94158,6075022600.0,0.0008871540099361249,2020-09-01,,,,
,,,,,,,,94108,6075011700.0,0.09410334346504559,2022-06-01
,,,,,,,,94108,6075011300.0,0.13240121580547112,2022-06-01
,,,,,,,,94108,6075060100.0,0.0,2022-06-01
,,,,,,,,94108,6075011902.0,0.26759878419452887,2022-06-01
,,,,,,,,94108,6075012100.0,0.07148936170212766,2022-06-01
,,,,,,,,94108,6075011800.0,0.08814589665653495,2022-06-01
,,,,,,,,94108,6075061100.0,0.12559270516717325,2022-06-01
,,,,,,,,94108,6075011901.0,0.031124620060790274,2022-06-01
,,,,,,,,94108,6075010800.0,0.0252887537993921,2022-06-01
,,,,,,,,94108,6075011200.0,0.16425531914893618,2022-06-01
,,,,,,,,94107,6075010500.0,0.0,2022-06-01
,,,,,,,,94107,6075060700.0,0.14021717473600318,2022-06-01
,,,,,,,,94107,6075022802.0,4.981071926678621e-05,2022-06-01
,,,,,,,,94107,6075022600.0,0.1325961346881849,2022-06-01
,,,,,,,,94107,6075022704.0,0.1174536760310819,2022-06-01
,,,,,,,,94107,6075980900.0,0.017981669655309823,2022-06-01
,,,,,,,,94107,6075017801.0,0.08173939031679617,2022-06-01
,,,,,,,,94107,6075022702.0,0.057680812910938434,2022-06-01
,,,,,,,,94107,6075061500.0,0.17832237497509465,2022-06-01
,,,,,,,,94107,6075022903.0,0.0,2022-06-01
,,,,,,,,94107,6075061400.0,0.1412133891213389,2022-06-01
,,,,,,,,94107,6075017802.0,0.035913528591352856,2022-06-01
,,,,,,,,94107,6075018000.0,0.0968320382546324,2022-06-01
,,,,,,,,94109,6075012100.0,0.04331284752707053,2022-06-01
,,,,,,,,94109,6075015200.0,0.030595684678213213,2022-06-01
,,,,,,,,94109,6075012401.0,0.025008646606539495,2022-06-01
,,,,,,,,94109,6075013101.0,0.06797562987203022,2022-06-01
,,,,,,,,94109,6075010800.0,0.027110437119216752,2022-06-01
,,,,,,,,94109,6075015100.0,0.05408784952244127,2022-06-01
,,,,,,,,94109,6075012402.0,0.024715992231356586,2022-06-01
,,,,,,,,94109,6075010200.0,0.07944236039056056,2022-06-01
,,,,,,,,94109,6075012202.0,0.04512198366456487,2022-06-01
,,,,,,,,94109,6075013102.0,0.04514858860776332,2022-06-01
,,,,,,,,94109,6075012302.0,0.020805065581184983,2022-06-01
,,,,,,,,94109,6075011000.0,0.07819192806023359,2022-06-01
,,,,,,,,94109,6075010900.0,0.0752653843084045,2022-06-01
,,,,,,,,94109,6075011901.0,0.043259637640673636,2022-06-01
,,,,,,,,94109,6075011100.0,0.08941921408997792,2022-06-01
,,,,,,,,94109,6075012902.0,0.00034586426157980153,2022-06-01
,,,,,,,,94109,6075011200.0,0.02868012876792508,2022-06-01
,,,,,,,,94109,6075012000.0,0.06821507436081624,2022-06-01
,,,,,,,,94109,6075012901.0,0.007742038470747865,2022-06-01
,,,,,,,,94109,6075015900.0,0.014552903929550111,2022-06-01
,,,,,,,,94109,6075012201.0,0.07688828584350972,2022-06-01
,,,,,,,,94109,6075013000.0,0.0028999388086306437,2022-06-01
,,,,,,,,94109,6075015500.0,0.031207598371777476,2022-06-01
,,,,,,,,94109,6075016000.0,0.020006917285231594,2022-06-01
,,,,,,,,94114,6075016700.0,0.0010725585885128974,2022-06-01
,,,,,,,,94114,6075021400.0,0.06472891081675336,2022-06-01
,,,,,,,,94114,6075016900.0,0.09749557569582239,2022-06-01
,,,,,,,,94114,6075020401.0,0.0925081782592374,2022-06-01
,,,,,,,,94114,6075030102.0,0.00815144527269802,2022-06-01
,,,,,,,,94114,6075020402.0,0.03603796857403336,2022-06-01
,,,,,,,,94114,6075020300.0,0.08768166461092937,2022-06-01
,,,,,,,,94114,6075017000.0,0.0900949214350834,2022-06-01
,,,,,,,,94114,6075020500.0,0.10548613718024347,2022-06-01
,,,,,,,,94114,6075021100.0,0.10570064889794605,2022-06-01
,,,,,,,,94114,6075021300.0,0.06033142060385049,2022-06-01
,,,,,,,,94114,6075021200.0,0.08457124470424197,2022-06-01
,,,,,,,,94114,6075020600.0,0.1531077385102161,2022-06-01
,,,,,,,,94114,6075016801.0,0.006059956025097871,2022-06-01
,,,,,,,,94114,6075030500.0,0.006971630825333834,2022-06-01
,,,,,,,,94124,6075023003.0,0.09211889393577177,2022-06-01
,,,,,,,,94124,6075023001.0,0.10112359550561797,2022-06-01
,,,,,,,,94124,6075025100.0,7.96876245119133e-05,2022-06-01
